"sexo","edad_1","escol","cond_act","ing_fam","Tam_loc_bin","medio_principal","dura1_cat","p6","p15_3","victima_delito","usa_tractor"
"Hombre","15 a 24","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Corto (≤20 min)","Sí","Casi nunca","No","No"
"Hombre","65 y más","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Primaria","No trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","Sí","No"
"Hombre","35 a 44","Preparatoria/Bachillerato","Sí trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Mujer","45 a 54","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","65 y más","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","Sí","No"
"Mujer","35 a 44","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","Sí","No"
"Mujer","45 a 54","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","Sí","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","Sí trabaja","2-3 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Mujer","25 a 34","Secundaria","No trabaja","4-5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí",,"No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","2-3 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","Sí","No"
"Mujer","65 y más","Ninguna","No trabaja","2-3 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Nunca","No","Sí"
"Hombre","55 a 64","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","Sí","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","4-5 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Ninguna","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Corto (≤20 min)","Sí","Nunca","No","No"
"Hombre","45 a 54","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","Sí","No"
"Hombre","55 a 64","Preparatoria/Bachillerato","No trabaja","5-6 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","Sí","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","No trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi nunca","Sí","No"
"Hombre","35 a 44","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","No","No"
"Hombre","25 a 34","Secundaria","Sí trabaja","2-3 SM","Menos de 15,000 hab.","Otro","Medio (21-40 min)","Sí","Casi nunca","No","Sí"
"Mujer","35 a 44","Secundaria","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Siempre","No","No"
"Mujer","25 a 34","Secundaria","No trabaja","1-2 SM","Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","25 a 34","Secundaria","Sí trabaja","2-3 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Secundaria","Sí trabaja","3-4 SM","Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Secundaria","Sí trabaja","3-4 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","45 a 54","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","55 a 64","Preparatoria/Bachillerato","Sí trabaja",">5 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Hombre","45 a 54","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","Sí trabaja","5-6 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi siempre","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Mujer","35 a 44","Secundaria","No trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Hombre","55 a 64","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","Sí","No"
"Mujer","45 a 54","Secundaria","No trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","35 a 44","Universidad/Posgrado","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Mujer","35 a 44","Secundaria","No trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","15 a 24","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","15 a 24","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Corto (≤20 min)","Sí","Nunca","No","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","Sí trabaja","4-5 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","Sí","No"
"Hombre","55 a 64","Secundaria","Sí trabaja","4-5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","Sí","No"
"Mujer","55 a 64","Primaria","No trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","Sí","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","3-4 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Hombre","25 a 34","Secundaria","No trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","15 a 24","Secundaria",,">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","45 a 54","Primaria","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","45 a 54","Secundaria","No trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí",,"No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","35 a 44","Primaria","Sí trabaja","5-6 SM","Menos de 15,000 hab.","Taxi/Plataforma","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","Sí trabaja","1-2 SM","Menos de 15,000 hab.","Taxi/Plataforma","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Secundaria","Sí trabaja","4-5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Secundaria","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","35 a 44","Primaria","Sí trabaja","5-6 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","No aplica","Sí","No"
"Mujer","35 a 44","Secundaria","No trabaja",">5 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Secundaria","No trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","5-6 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Ninguna","Sí trabaja","1-2 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","Sí trabaja","5-6 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","No trabaja","1-2 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","45 a 54","Universidad/Posgrado","No trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","25 a 34","Universidad/Posgrado","No trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","65 y más","Universidad/Posgrado","No trabaja",,"15,000 hab. o más","Otro","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Siempre","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Primaria","Sí trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Mujer","25 a 34","Secundaria","Sí trabaja",">5 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","Sí","Casi siempre","No","No"
"Mujer","25 a 34","Secundaria","No trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi siempre","Sí","No"
"Mujer","15 a 24","Primaria","No trabaja","1-2 SM","Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","55 a 64","Universidad/Posgrado","No trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","35 a 44","Secundaria","Sí trabaja","4-5 SM","15,000 hab. o más","Taxi/Plataforma","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","55 a 64","Secundaria","Sí trabaja","<1 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","35 a 44","Preparatoria/Bachillerato","Sí trabaja","3-4 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Casi siempre","Sí","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Corto (≤20 min)","Sí","Casi nunca","No","No"
"Hombre","65 y más","Secundaria","Sí trabaja","3-4 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","45 a 54","Preparatoria/Bachillerato","No trabaja","2-3 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","4-5 SM","Menos de 15,000 hab.","Taxi/Plataforma","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","Sí","No"
"Hombre","25 a 34","Secundaria","Sí trabaja","5-6 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Secundaria","No trabaja","2-3 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí",,"No","No"
"Hombre","45 a 54","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Siempre","Sí","No"
"Hombre","65 y más","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Siempre","Sí","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja",">5 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Mujer","45 a 54","Primaria","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","15 a 24","Secundaria","Sí trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","1-2 SM","15,000 hab. o más","Taxi/Plataforma","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","4-5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","No trabaja",">5 SM","Menos de 15,000 hab.","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Siempre","No","No"
"Mujer","25 a 34","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","65 y más","Ninguna","Sí trabaja","2-3 SM","15,000 hab. o más","Taxi/Plataforma","Medio (21-40 min)","Sí","Nunca","Sí","No"
"Mujer","25 a 34","Secundaria","No trabaja","3-4 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Hombre","35 a 44","Preparatoria/Bachillerato","Sí trabaja",">5 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","55 a 64","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Mujer","55 a 64","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","Sí","No"
"Mujer","25 a 34","Secundaria","No trabaja","1-2 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","4-5 SM","Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","2-3 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","15 a 24","Secundaria","No trabaja","2-3 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Nunca","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Taxi/Plataforma","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Primaria","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","45 a 54","Secundaria","Sí trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","Sí","No"
"Hombre","45 a 54","Secundaria","Sí trabaja","2-3 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","Sí trabaja","5-6 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí",,"No","No"
"Hombre","55 a 64","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Mujer","35 a 44","Secundaria","Sí trabaja",,"Menos de 15,000 hab.","Automóvil particular","Corto (≤20 min)","Sí","Casi siempre","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","Sí","No"
"Mujer","45 a 54","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","Sí","No"
"Hombre","55 a 64","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Nunca","Sí","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Taxi/Plataforma","Largo (>40 min)","Sí","Nunca","No","No"
"Mujer","55 a 64","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","Sí","Casi nunca","No","No"
"Hombre","55 a 64","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Corto (≤20 min)","Sí","Casi nunca","No","No"
"Mujer","45 a 54","Ninguna","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Corto (≤20 min)","Sí","No aplica","No","No"
"Hombre","25 a 34","Secundaria","Sí trabaja",,"Menos de 15,000 hab.","Automóvil particular","Largo (>40 min)","Sí","Siempre","No","No"
"Hombre","35 a 44","Ninguna","Sí trabaja","3-4 SM","15,000 hab. o más","Otro","Medio (21-40 min)","Sí","Casi siempre","No","Sí"
"Mujer","35 a 44","Preparatoria/Bachillerato","No trabaja","3-4 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","Sí","No"
"Hombre","45 a 54","Secundaria","Sí trabaja","3-4 SM","Menos de 15,000 hab.","Automóvil particular","Largo (>40 min)","Sí",,"No","No"
"Hombre","35 a 44","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","Sí","No"
"Mujer","35 a 44","Primaria","No trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","65 y más","Ninguna","Sí trabaja","1-2 SM","Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","25 a 34","Universidad/Posgrado","Sí trabaja","3-4 SM","Menos de 15,000 hab.","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","Sí trabaja","4-5 SM","Menos de 15,000 hab.","Automóvil particular","Corto (≤20 min)","Sí","Casi nunca","No","No"
"Hombre","45 a 54","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","No trabaja","2-3 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","55 a 64","Preparatoria/Bachillerato","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Siempre","No","No"
"Mujer","35 a 44","Universidad/Posgrado","No trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi siempre","Sí","No"
"Mujer","15 a 24","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","15 a 24","Primaria","No trabaja","3-4 SM","15,000 hab. o más","No motorizado","Largo (>40 min)","Sí","Casi siempre","No",
"Hombre","45 a 54","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Siempre","No","No"
"Mujer","25 a 34","Primaria","Sí trabaja","5-6 SM","15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi siempre","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","No trabaja","3-4 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","35 a 44","Primaria","Sí trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Corto (≤20 min)","Sí","Casi nunca","No","No"
"Hombre","15 a 24","Secundaria","No trabaja",,"15,000 hab. o más","Automóvil particular","Largo (>40 min)","Sí","Casi nunca","No","No"
"Mujer","25 a 34","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","15 a 24","Secundaria","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Siempre","No","No"
"Hombre","15 a 24","Universidad/Posgrado","Sí trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","25 a 34","Universidad/Posgrado","No trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Nunca","No","No"
"Hombre","35 a 44","Preparatoria/Bachillerato","Sí trabaja","2-3 SM","Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","No trabaja",,"15,000 hab. o más","Automóvil particular","Medio (21-40 min)","Sí","Casi nunca","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","3-4 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","Sí","Nunca","No","No"
"Mujer","45 a 54","Secundaria",,,"15,000 hab. o más","Público masivo","Largo (>40 min)","No","No aplica","Sí","No"
"Mujer","15 a 24","Primaria","No trabaja","1-2 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Mujer","45 a 54","Ninguna","No trabaja","1-2 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Mujer","35 a 44","Secundaria","Sí trabaja","1-2 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","Sí","No"
"Hombre","65 y más","Secundaria","Sí trabaja","<1 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Mujer","25 a 34","Secundaria","No trabaja","1-2 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Mujer","55 a 64","Secundaria","Sí trabaja","2-3 SM","15,000 hab. o más","No motorizado","Medio (21-40 min)","No","No aplica","No","No"
"Hombre","65 y más","Universidad/Posgrado","No trabaja",,"15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","Sí","No"
"Mujer","25 a 34","Secundaria","Sí trabaja","2-3 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","Sí","No"
"Mujer","35 a 44","Secundaria","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Hombre","25 a 34","Universidad/Posgrado","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja",,"15,000 hab. o más","Público masivo","Corto (≤20 min)","No","No aplica","No","No"
"Mujer","15 a 24","Preparatoria/Bachillerato","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Mujer","35 a 44","Preparatoria/Bachillerato","Sí trabaja",">5 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Mujer","35 a 44","Secundaria","No trabaja","2-3 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Mujer","35 a 44","Secundaria","No trabaja","2-3 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","No","No aplica","Sí","No"
"Mujer","45 a 54","Primaria","No trabaja","4-5 SM","15,000 hab. o más","Público masivo","Corto (≤20 min)","No","No aplica","No","No"
"Hombre","25 a 34","Secundaria","Sí trabaja","4-5 SM","Menos de 15,000 hab.","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Mujer","25 a 34","Secundaria","No trabaja",">5 SM","15,000 hab. o más","Automóvil particular","Corto (≤20 min)","No","No aplica","No","No"
"Hombre","55 a 64","Preparatoria/Bachillerato","Sí trabaja","5-6 SM","Menos de 15,000 hab.","Público masivo","Largo (>40 min)","No","No aplica","No","No"
"Mujer","65 y más","Secundaria","No trabaja","1-2 SM","Menos de 15,000 hab.","Automóvil particular","Largo (>40 min)","No","No aplica","No","No"
"Hombre","15 a 24","Preparatoria/Bachillerato","No trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Hombre","65 y más","Primaria","Sí trabaja","2-3 SM","15,000 hab. o más","Taxi/Plataforma","Medio (21-40 min)","No","No aplica","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Mujer","35 a 44","Secundaria","No trabaja","2-3 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Hombre","55 a 64","Primaria","Sí trabaja","4-5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Mujer","25 a 34","Preparatoria/Bachillerato","No trabaja","3-4 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Mujer","55 a 64","Ninguna","Sí trabaja","<1 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Mujer","15 a 24","Primaria","Sí trabaja","1-2 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Mujer","45 a 54","Secundaria","Sí trabaja",">5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Hombre","25 a 34","Preparatoria/Bachillerato","Sí trabaja","4-5 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
"Hombre","35 a 44","Secundaria","Sí trabaja","1-2 SM","15,000 hab. o más","Público masivo","Medio (21-40 min)","No","No aplica","No","No"
